reason_id,event_id,source_row_id,reason_index,reason_raw,event_level,rejected_at,corrected_at,gap_days,Region,Nom Operateur Court,reason_clean,reason_model,reason_word_count,is_valid_reason,cluster_id,stable_theme,theme_assignment_method,needs_review,rejected_month
12,2,2,1,Incohérence entre les noms des voisins inscrits sur le PVCL et le plan,N1,2026-03-20 07:53:00,2026-06-18 09:51:00,90.04166666666667,AGNEBY-TIASSA,GRP. ALLIANCE IVOIR.,incoherence entre les noms des voisins inscrits sur le pvcl et le plan,incoherence entre noms voisins inscrits pvcl plan,7,True,1,pvcl_constat_limites,rule,False,2026-03
13,2,2,2,Corriger le nom Aka sur le plan,N1,2026-03-20 07:53:00,2026-06-18 09:51:00,90.04166666666667,AGNEBY-TIASSA,GRP. ALLIANCE IVOIR.,corriger le nom aka sur le plan,nom aka plan,3,True,2,plan_toponymie_noms,rule,False,2026-03
14,2,2,3,Indiquer le nom complet de koné et Ettien sur le plan,N1,2026-03-20 07:53:00,2026-06-18 09:51:00,90.04166666666667,AGNEBY-TIASSA,GRP. ALLIANCE IVOIR.,indiquer le nom complet de kone et ettien sur le plan,indiquer nom complet kone ettien plan,6,True,2,plan_toponymie_noms,rule,False,2026-03
15,2,2,4,Clarifier s'il s'agit d'une route ou piste et le voisin de l'autre côté de la piste,N1,2026-03-20 07:53:00,2026-06-18 09:51:00,90.04166666666667,AGNEBY-TIASSA,GRP. ALLIANCE IVOIR.,clarifier s'il s'agit d'une route ou piste et le voisin de l'autre cote de la piste,clarifier s'il s'agit d'une route piste voisin l'autre cote piste,10,True,0,voisinage_limitrophes,rule,False,2026-03
16,3,3,1,Kouamé kouassi Réné et Kouamé Koffi Alphonse absent au PVCL,N1,2026-04-20 14:39:00,2026-06-18 09:46:00,58.791666666666664,AGNEBY-TIASSA,GRP. ALLIANCE IVOIR.,kouame kouassi rene et kouame koffi alphonse absent au pvcl,kouame kouassi rene kouame koffi alphonse absent pvcl,8,True,12,pvcl_constat_limites,rule,False,2026-04
17,3,3,2,Famille N'Dri Kouamé Joachain signataire est absent sur le plan,N1,2026-04-20 14:39:00,2026-06-18 09:46:00,58.791666666666664,AGNEBY-TIASSA,GRP. ALLIANCE IVOIR.,famille n'dri kouame joachain signataire est absent sur le plan,famille n'dri kouame joachain signataire absent plan,7,True,12,signature_absente_ou_incomplete,rule,False,2026-04
18,3,3,3,Enlever l'amorce B4,N1,2026-04-20 14:39:00,2026-06-18 09:46:00,58.791666666666664,AGNEBY-TIASSA,GRP. ALLIANCE IVOIR.,enlever l'amorce b4,enlever l'amorce b4,3,True,1,voisinage_limitrophes,rule,False,2026-04
19,4,4,1,"equipe d'enquête incomplète et absence de signature des membres, à la question De qui le défunt détenait-il cette parcelle ?",N1,2026-05-20 16:24:00,2026-06-18 09:46:00,28.708333333333332,AGNEBY-TIASSA,GRP. ALLIANCE IVOIR.,equipe d'enquete incomplete et signature_absente des membres a la question de qui le defunt detenait il cette parcelle,equipe d'enquete incomplete signature_absente membres question defunt detenait il parcelle,10,True,7,signature_absente_ou_incomplete,rule,False,2026-05
20,4,4,2,"la reponse ne peut etre un numero de telephone, absence d'audition d'un parent du demandeur, absence de l'equipe d'enqête au constat des limites,absence de la signature du demandeur sur le PV de constat de limites, absence des voisins au constat des limites",N1,2026-05-20 16:24:00,2026-06-18 09:46:00,28.708333333333332,AGNEBY-TIASSA,GRP. ALLIANCE IVOIR.,la reponse ne peut etre un numero de telephone absence d'audition d'un parent du demandeur absence de l'equipe d'enqete au constat des limites absence de la signature du demandeur sur le pv de constat de limites absence des voisins au constat des limites,reponse ne peut numero telephone absence d'audition d'un parent demandeur absence l'equipe d'enqete constat limites absence signature demandeur pv constat limites absence voisins constat limites,25,True,1,pvcl_constat_limites,rule,False,2026-05
21,5,5,1,Le CE et la famille Koffi Kouamé n'ont pas signé le PVCL,N1,2026-04-21 17:14:00,2026-06-18 09:46:00,57.666666666666664,AGNEBY-TIASSA,GRP. ALLIANCE IVOIR.,le ce et la famille koffi kouame n'ont signature_non_signee le pvcl,famille koffi kouame n'ont signature_non_signee pvcl,6,True,0,signature_absente_ou_incomplete,rule,False,2026-04
22,6,6,1,Absence de pièce cni scannée,N1,2026-05-21 01:03:00,2026-06-18 09:46:00,28.333333333333332,AGNEBY-TIASSA,GRP. ALLIANCE IVOIR.,absence de piece cni scannee,absence piece cni scannee,4,True,5,pieces_documents_scan,rule,False,2026-05
23,6,6,2,Absence de déclaration du demandeur,N1,2026-05-21 01:03:00,2026-06-18 09:46:00,28.333333333333332,AGNEBY-TIASSA,GRP. ALLIANCE IVOIR.,absence de declaration du demandeur,absence declaration demandeur,3,True,3,pieces_documents_scan,rule,False,2026-05
24,6,6,3,Insuffisance d’informations sur la nature des droits,N1,2026-05-21 01:03:00,2026-06-18 09:46:00,28.333333333333332,AGNEBY-TIASSA,GRP. ALLIANCE IVOIR.,insuffisance d informations sur la nature des droits,insuffisance informations nature droits,4,True,2,droits_origine_transaction,rule,False,2026-05
25,6,6,4,"Le demandeur, le CE, et 7 voisins n’ont pas signé le PVCL",N1,2026-05-21 01:03:00,2026-06-18 09:46:00,28.333333333333332,AGNEBY-TIASSA,GRP. ALLIANCE IVOIR.,le demandeur le ce et 7 voisins n ont signature_non_signee le pvcl,demandeur voisins ont signature_non_signee pvcl,5,True,0,signature_absente_ou_incomplete,rule,False,2026-05
26,7,7,1,Absence d’audition d’aumoins 1 référent qualifié,N1,2026-05-21 01:33:00,2026-06-18 09:46:00,28.333333333333332,AGNEBY-TIASSA,GRP. ALLIANCE IVOIR.,absence d audition d aumoins 1 referent qualifie,absence audition aumoins referent qualifie,5,True,3,audition_enquete_historique,rule,False,2026-05
27,7,7,2,Insuffisance d’informations sur l’origine des droits du demandeur,N1,2026-05-21 01:33:00,2026-06-18 09:46:00,28.333333333333332,AGNEBY-TIASSA,GRP. ALLIANCE IVOIR.,insuffisance d informations sur l origine des droits du demandeur,insuffisance informations origine droits demandeur,5,True,2,audition_enquete_historique,rule,False,2026-05
28,7,7,3,"Le CE, le demandeur et 4 voisins n’ont pas signé le PVCL",N1,2026-05-21 01:33:00,2026-06-18 09:46:00,28.333333333333332,AGNEBY-TIASSA,GRP. ALLIANCE IVOIR.,le ce le demandeur et 4 voisins n ont signature_non_signee le pvcl,demandeur voisins ont signature_non_signee pvcl,5,True,0,signature_absente_ou_incomplete,rule,False,2026-05
29,8,8,1,Déterminer le voisin après la route de liaison Adikouassikro,N1,2026-04-23 04:17:00,2026-06-18 09:46:00,56.208333333333336,AGNEBY-TIASSA,GRP. ALLIANCE IVOIR.,determiner le voisin apres la route de liaison adikouassikro,determiner voisin apres route liaison adikouassikro,6,True,14,voisinage_limitrophes,rule,False,2026-04
30,8,8,2,Famille Kouassi Kacou absent au PVCL,N1,2026-04-23 04:17:00,2026-06-18 09:46:00,56.208333333333336,AGNEBY-TIASSA,GRP. ALLIANCE IVOIR.,famille kouassi kacou absent au pvcl,famille kouassi kacou absent pvcl,5,True,12,pvcl_constat_limites,rule,False,2026-04
31,8,8,3,Kacou Koffi faut-il n’est pas voisin sur le plan,N1,2026-04-23 04:17:00,2026-06-18 09:46:00,56.208333333333336,AGNEBY-TIASSA,GRP. ALLIANCE IVOIR.,kacou koffi faut il n est pas voisin sur le plan,kacou koffi faut il pas voisin plan,7,True,6,voisinage_limitrophes,rule,False,2026-04
32,8,8,4,Le CE Soro Pedeh n’a pas signé le PVCL,N1,2026-04-23 04:17:00,2026-06-18 09:46:00,56.208333333333336,AGNEBY-TIASSA,GRP. ALLIANCE IVOIR.,le ce soro pedeh n a signature_non_signee le pvcl,soro pedeh signature_non_signee pvcl,4,True,0,signature_absente_ou_incomplete,rule,False,2026-04
33,9,9,1,Vérifier la toponymie du voisin Atchin Jean François absent au PVCL,N1,2026-04-23 04:40:00,2026-06-18 09:46:00,56.208333333333336,AGNEBY-TIASSA,GRP. ALLIANCE IVOIR.,verifier la toponymie du voisin atchin jean francois absent au pvcl,verifier toponymie voisin atchin jean francois absent pvcl,8,True,12,pvcl_constat_limites,rule,False,2026-04
34,9,9,2,N’guessan Victor absent au PVCL,N1,2026-04-23 04:40:00,2026-06-18 09:46:00,56.208333333333336,AGNEBY-TIASSA,GRP. ALLIANCE IVOIR.,n guessan victor absent au pvcl,guessan victor absent pvcl,4,True,12,pvcl_constat_limites,rule,False,2026-04
35,9,9,3,Le CE Soro n’a pas signé le PVCL,N1,2026-04-23 04:40:00,2026-06-18 09:46:00,56.208333333333336,AGNEBY-TIASSA,GRP. ALLIANCE IVOIR.,le ce soro n a signature_non_signee le pvcl,soro signature_non_signee pvcl,3,True,0,signature_absente_ou_incomplete,rule,False,2026-04
36,9,9,4,Déterminer le voisin derrière la route,N1,2026-04-23 04:40:00,2026-06-18 09:46:00,56.208333333333336,AGNEBY-TIASSA,GRP. ALLIANCE IVOIR.,determiner le voisin derriere la route,determiner voisin derriere route,4,True,14,voisinage_limitrophes,rule,False,2026-04
37,9,9,5,Mettre la servitude de la route,N1,2026-04-23 04:40:00,2026-06-18 09:46:00,56.208333333333336,AGNEBY-TIASSA,GRP. ALLIANCE IVOIR.,mettre la servitude de la route,mettre servitude route,3,True,14,servitude_route_piste,rule,False,2026-04
38,10,10,1,Le CE et quatre voisins n’ont pas signé le PVCL,N1,2026-04-26 04:05:00,2026-06-18 09:46:00,53.208333333333336,AGNEBY-TIASSA,GRP. ALLIANCE IVOIR.,le ce et quatre voisins n ont signature_non_signee le pvcl,quatre voisins ont signature_non_signee pvcl,5,True,0,signature_absente_ou_incomplete,rule,False,2026-04
39,11,11,1,Le CE Soro Pedeh et le voisin Troh Jean François n’ont pas signé le PVCL,N1,2026-04-26 05:09:00,2026-06-18 09:46:00,53.166666666666664,AGNEBY-TIASSA,GRP. ALLIANCE IVOIR.,le ce soro pedeh et le voisin troh jean francois n ont signature_non_signee le pvcl,soro pedeh voisin troh jean francois ont signature_non_signee pvcl,9,True,0,signature_absente_ou_incomplete,rule,False,2026-04
40,11,11,2,Schématiser la servitude de la route,N1,2026-04-26 05:09:00,2026-06-18 09:46:00,53.166666666666664,AGNEBY-TIASSA,GRP. ALLIANCE IVOIR.,schematiser la servitude de la route,schematiser servitude route,3,True,14,servitude_route_piste,rule,False,2026-04
41,12,12,1,Le CE Soro Pedeh et 3 voisins n’ont pas signé le PVCL,N1,2026-04-27 04:32:00,2026-06-18 09:46:00,52.208333333333336,AGNEBY-TIASSA,GRP. ALLIANCE IVOIR.,le ce soro pedeh et 3 voisins n ont signature_non_signee le pvcl,soro pedeh voisins ont signature_non_signee pvcl,6,True,0,signature_absente_ou_incomplete,rule,False,2026-04
42,12,12,2,La famille N’zo signataire du PVCL en tant que voisin n’est pas représenté sur le plan,N1,2026-04-27 04:32:00,2026-06-18 09:46:00,52.208333333333336,AGNEBY-TIASSA,GRP. ALLIANCE IVOIR.,la famille n zo signataire du pvcl en tant que voisin n est pas represente sur le plan,famille zo signataire pvcl tant voisin pas represente plan,9,True,6,signature_absente_ou_incomplete,rule,False,2026-04
43,13,13,1,Le CE Soro Pedeh et 4 voisins n’ont pas signé le PVCL,N1,2026-04-27 05:15:00,2026-06-18 09:46:00,52.166666666666664,AGNEBY-TIASSA,GRP. ALLIANCE IVOIR.,le ce soro pedeh et 4 voisins n ont signature_non_signee le pvcl,soro pedeh voisins ont signature_non_signee pvcl,6,True,0,signature_absente_ou_incomplete,rule,False,2026-04
44,14,14,1,"Le CE Soro Pedeh, les voisins kouadio Koffi David et kouakou n’guessan Pierre n’ont pas signé le PVCL",N1,2026-04-27 05:34:00,2026-06-18 09:53:00,52.166666666666664,AGNEBY-TIASSA,GRP. ALLIANCE IVOIR.,le ce soro pedeh les voisins kouadio koffi david et kouakou n guessan pierre n ont signature_non_signee le pvcl,soro pedeh voisins kouadio koffi david kouakou guessan pierre ont signature_non_signee pvcl,12,True,0,signature_absente_ou_incomplete,rule,False,2026-04
45,14,14,2,Le signataire kouadjo Koffi Jules en tant que voisin limitrophe n’est pas représenté sur le plan,N1,2026-04-27 05:34:00,2026-06-18 09:53:00,52.166666666666664,AGNEBY-TIASSA,GRP. ALLIANCE IVOIR.,le signataire kouadjo koffi jules en tant que voisin limitrophe n est pas represente sur le plan,signataire kouadjo koffi jules tant voisin limitrophe pas represente plan,10,True,6,signature_absente_ou_incomplete,rule,False,2026-04
46,14,14,3,Enlever l’amorce B18,N1,2026-04-27 05:34:00,2026-06-18 09:53:00,52.166666666666664,AGNEBY-TIASSA,GRP. ALLIANCE IVOIR.,enlever l amorce b18,enlever amorce b18,3,True,1,voisinage_limitrophes,rule,False,2026-04
47,15,17,1,Absence de pièce d’identité,N1,2026-05-04 12:49:00,2026-06-30 16:01:00,57.125,CAVALLY,GRP. CAG,absence de piece d identite,absence piece identite,3,True,5,autre_a_revoir,manual_review,True,2026-05
48,15,17,2,RDC : Le nom du gestionnaire apparait deux fois dans la fiche démographique,N1,2026-05-04 12:49:00,2026-06-30 16:01:00,57.125,CAVALLY,GRP. CAG,rdc le nom du gestionnaire apparait deux fois dans la fiche demographique,rdc nom gestionnaire apparait deux fois fiche demographique,8,True,4,autre_a_revoir,manual_review,True,2026-05
49,15,17,3,PV RDC : Equipe d’enquête incomplète (absence du géomètre),N1,2026-05-04 12:49:00,2026-06-30 16:01:00,57.125,CAVALLY,GRP. CAG,pv rdc equipe d enquete incomplete absence du geometre,pv rdc equipe enquete incomplete absence geometre,7,True,7,audition_enquete_historique,rule,False,2026-05
50,15,17,4,PV RDC : Absence de signature des voisins et du CVGFR,N1,2026-05-04 12:49:00,2026-06-30 16:01:00,57.125,CAVALLY,GRP. CAG,pv rdc signature_absente des voisins et du cvgfr,pv rdc signature_absente voisins cvgfr,5,True,7,signature_absente_ou_incomplete,rule,False,2026-05
51,15,17,5,Absence audition d’au moins un référent qualifié (parents du demandeur) cas d’héritage,N1,2026-05-04 12:49:00,2026-06-30 16:01:00,57.125,CAVALLY,GRP. CAG,absence audition d au moins un referent qualifie parents du demandeur cas d heritage,absence audition referent qualifie parents demandeur cas heritage,8,True,3,audition_enquete_historique,rule,False,2026-05
52,15,17,6,PVCL : Absence de signature des voisins ou leurs représentants avec absence du formulaire de carence de participation du voisin limitrophe concerné,N1,2026-05-04 12:49:00,2026-06-30 16:01:00,57.125,CAVALLY,GRP. CAG,pvcl signature_absente des voisins ou leurs representants avec absence du formulaire de carence de participation du voisin limitrophe concerne,pvcl signature_absente voisins representants absence formulaire carence participation voisin limitrophe concerne,11,True,6,signature_absente_ou_incomplete,rule,False,2026-05
53,15,17,7,"Absence de signature du géomètre, chefferie",N1,2026-05-04 12:49:00,2026-06-30 16:01:00,57.125,CAVALLY,GRP. CAG,signature_absente du geometre chefferie,signature_absente geometre chefferie,3,True,0,signature_absente_ou_incomplete,rule,False,2026-05
54,15,17,8,Plan : la famille demandeuse est aussi voisine a la parcelle objet de demande de C F,N1,2026-05-04 12:49:00,2026-06-30 16:01:00,57.125,CAVALLY,GRP. CAG,plan la famille demandeuse est aussi voisine a la parcelle objet de demande de c f,plan famille demandeuse aussi voisine parcelle objet demande,8,True,6,voisinage_limitrophes,rule,False,2026-05
55,16,18,1,Absence de pièce d’identité,N1,2026-05-04 13:08:00,2026-06-30 16:01:00,57.083333333333336,CAVALLY,GRP. CAG,absence de piece d identite,absence piece identite,3,True,5,autre_a_revoir,manual_review,True,2026-05
56,16,18,2,RDC : Le nom du gestionnaire apparait deux fois dans la fiche démographique,N1,2026-05-04 13:08:00,2026-06-30 16:01:00,57.083333333333336,CAVALLY,GRP. CAG,rdc le nom du gestionnaire apparait deux fois dans la fiche demographique,rdc nom gestionnaire apparait deux fois fiche demographique,8,True,4,autre_a_revoir,manual_review,True,2026-05
57,16,18,3,PV RDC : Equipe d’enquête incomplète (absence du géomètre),N1,2026-05-04 13:08:00,2026-06-30 16:01:00,57.083333333333336,CAVALLY,GRP. CAG,pv rdc equipe d enquete incomplete absence du geometre,pv rdc equipe enquete incomplete absence geometre,7,True,7,audition_enquete_historique,rule,False,2026-05
58,16,18,4,PV RDC : Absence de signature des voisins et du CVGFR,N1,2026-05-04 13:08:00,2026-06-30 16:01:00,57.083333333333336,CAVALLY,GRP. CAG,pv rdc signature_absente des voisins et du cvgfr,pv rdc signature_absente voisins cvgfr,5,True,7,signature_absente_ou_incomplete,rule,False,2026-05
59,16,18,5,Absence audition d’au moins un référent qualifié (parents du demandeur) cas d’héritage,N1,2026-05-04 13:08:00,2026-06-30 16:01:00,57.083333333333336,CAVALLY,GRP. CAG,absence audition d au moins un referent qualifie parents du demandeur cas d heritage,absence audition referent qualifie parents demandeur cas heritage,8,True,3,audition_enquete_historique,rule,False,2026-05
60,16,18,6,PVCL : Absence de signature des voisins ou leurs représentants avec absence du formulaire de carence de participation du voisin limitrophe concerné,N1,2026-05-04 13:08:00,2026-06-30 16:01:00,57.083333333333336,CAVALLY,GRP. CAG,pvcl signature_absente des voisins ou leurs representants avec absence du formulaire de carence de participation du voisin limitrophe concerne,pvcl signature_absente voisins representants absence formulaire carence participation voisin limitrophe concerne,11,True,6,signature_absente_ou_incomplete,rule,False,2026-05
61,16,18,7,"Absence de signature du géomètre, chefferie",N1,2026-05-04 13:08:00,2026-06-30 16:01:00,57.083333333333336,CAVALLY,GRP. CAG,signature_absente du geometre chefferie,signature_absente geometre chefferie,3,True,0,signature_absente_ou_incomplete,rule,False,2026-05
62,16,18,8,Plan : la famille demandeuse est aussi voisine a la parcelle objet de demande de C F,N1,2026-05-04 13:08:00,2026-06-30 16:01:00,57.083333333333336,CAVALLY,GRP. CAG,plan la famille demandeuse est aussi voisine a la parcelle objet de demande de c f,plan famille demandeuse aussi voisine parcelle objet demande,8,True,6,voisinage_limitrophes,rule,False,2026-05
63,17,19,1,RDC : Le nom du gestionnaire apparait deux fois dans la fiche démographique,N1,2026-05-04 13:43:00,2026-06-30 16:01:00,57.083333333333336,CAVALLY,GRP. CAG,rdc le nom du gestionnaire apparait deux fois dans la fiche demographique,rdc nom gestionnaire apparait deux fois fiche demographique,8,True,4,autre_a_revoir,manual_review,True,2026-05
64,17,19,2,PV RDC : Equipe d’enquête incomplète (absence du géomètre et chefferie),N1,2026-05-04 13:43:00,2026-06-30 16:01:00,57.083333333333336,CAVALLY,GRP. CAG,pv rdc equipe d enquete incomplete absence du geometre et chefferie,pv rdc equipe enquete incomplete absence geometre chefferie,8,True,7,audition_enquete_historique,rule,False,2026-05
65,17,19,3,PV RDC : Absence de signature des membres de l’équipe d’enquête,N1,2026-05-04 13:43:00,2026-06-30 16:01:00,57.083333333333336,CAVALLY,GRP. CAG,pv rdc signature_absente des membres de l equipe d enquete,pv rdc signature_absente membres equipe enquete,6,True,7,signature_absente_ou_incomplete,rule,False,2026-05
66,17,19,4,il y a des contradictions dans les auditions,N1,2026-05-04 13:43:00,2026-06-30 16:01:00,57.083333333333336,CAVALLY,GRP. CAG,il y a des contradictions dans les auditions,il contradictions auditions,3,True,0,audition_enquete_historique,rule,False,2026-05
67,17,19,5,PVCL : Absence de signature des voisins ou leurs représentants avec absence du formulaire de carence de participation du voisin limitrophe concerné,N1,2026-05-04 13:43:00,2026-06-30 16:01:00,57.083333333333336,CAVALLY,GRP. CAG,pvcl signature_absente des voisins ou leurs representants avec absence du formulaire de carence de participation du voisin limitrophe concerne,pvcl signature_absente voisins representants absence formulaire carence participation voisin limitrophe concerne,11,True,6,signature_absente_ou_incomplete,rule,False,2026-05
68,17,19,6,"Absence de signature du géomètre, chefferie , CVGFR",N1,2026-05-04 13:43:00,2026-06-30 16:01:00,57.083333333333336,CAVALLY,GRP. CAG,signature_absente du geometre chefferie cvgfr,signature_absente geometre chefferie cvgfr,4,True,0,signature_absente_ou_incomplete,rule,False,2026-05
69,18,20,1,La fiche démographique présente des champs vides,N1,2026-04-16 12:30:00,2026-06-30 16:00:00,75.125,CAVALLY,GRP. CAG,la fiche demographique presente des champ_non_renseigne,fiche demographique presente champ_non_renseigne,4,True,4,qualite_information_insuffisante,rule,False,2026-04
70,18,20,2,Absence de signature des membres de l'équipe d'enquête,N1,2026-04-16 12:30:00,2026-06-30 16:00:00,75.125,CAVALLY,GRP. CAG,signature_absente des membres de l'equipe d'enquete,signature_absente membres l'equipe d'enquete,4,True,7,signature_absente_ou_incomplete,rule,False,2026-04
71,18,20,3,Confusion entre voisin mentionner dans le RDC et le Plan : Bas-fond et Terre communautaire,N1,2026-04-16 12:30:00,2026-06-30 16:00:00,75.125,CAVALLY,GRP. CAG,confusion entre voisin mentionner dans le rdc et le plan bas fond et terre communautaire,confusion entre voisin mentionner rdc plan bas fond terre communautaire,10,True,6,voisinage_limitrophes,rule,False,2026-04
72,18,20,4,Un bas-fond ne peut être un voisin limitrophe,N1,2026-04-16 12:30:00,2026-06-30 16:00:00,75.125,CAVALLY,GRP. CAG,un bas fond ne peut etre un voisin limitrophe,bas fond ne peut voisin limitrophe,6,True,6,voisinage_limitrophes,rule,False,2026-04
73,18,20,5,Insuffisance d'informations sur l'origine des droits coutumiers : plusieurs champs du questionnaire numero 3 sont vides,N1,2026-04-16 12:30:00,2026-06-30 16:00:00,75.125,CAVALLY,GRP. CAG,insuffisance d'informations sur l'origine des droits coutumiers plusieurs champs du questionnaire numero 3 sont vides,insuffisance d'informations l'origine droits coutumiers plusieurs champs questionnaire numero vides,10,True,2,droits_origine_transaction,rule,False,2026-04
74,18,20,6,Deux signatures distingues du demandeur sur la fiche de demande et le RDC,N1,2026-04-16 12:30:00,2026-06-30 16:00:00,75.125,CAVALLY,GRP. CAG,deux signatures distingues du demandeur sur la fiche de demande et le rdc,deux signatures distingues demandeur fiche demande rdc,7,True,2,audition_enquete_historique,rule,False,2026-04
75,18,20,7,Absence de déclaration du cédant ou un membre de sa famille,N1,2026-04-16 12:30:00,2026-06-30 16:00:00,75.125,CAVALLY,GRP. CAG,absence de declaration du cedant ou un membre de sa famille,absence declaration cedant membre famille,5,True,3,voisinage_limitrophes,rule,False,2026-04
76,18,20,8,Absence de déclaration du sachant mentionner dans la fiche démographique,N1,2026-04-16 12:30:00,2026-06-30 16:00:00,75.125,CAVALLY,GRP. CAG,absence de declaration du sachant mentionner dans la fiche demographique,absence declaration sachant mentionner fiche demographique,6,True,3,pieces_documents_scan,rule,False,2026-04
77,18,20,9,Absence de signature du géomètre expert ou son représentant sur le PVCL,N1,2026-04-16 12:30:00,2026-06-30 16:00:00,75.125,CAVALLY,GRP. CAG,signature_absente du geometre expert ou son representant sur le pvcl,signature_absente geometre expert representant pvcl,5,True,0,signature_absente_ou_incomplete,rule,False,2026-04
78,18,20,10,Absence d'au moins un membre du CVGFR et la chefferie sur le PVCL,N1,2026-04-16 12:30:00,2026-06-30 16:00:00,75.125,CAVALLY,GRP. CAG,absence d'au moins un membre du cvgfr et la chefferie sur le pvcl,absence d'au membre cvgfr chefferie pvcl,6,True,3,pvcl_constat_limites,rule,False,2026-04
